url,sourceUrl,anchorText,patternType,parserFamily,confidence,evidence
https://www.gmc.gov.il/?p=20966,https://www.gmc.gov.il/,הרופאים נדהמו לגלות: המטופל הגיע למרכז הרפואי לגליל עם בליטה חריגה של גלגל העין,doctorPage,inlineStaff,0.82,הרופאים נדהמו לגלות: המטופל הגיע למרכז הרפואי לגליל עם בליטה חריגה של גלגל העין https://www.gmc.gov.il/?p=20966
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%90%d7%99%d7%a8%d7%a0%d7%94-%d7%a1%d7%93%d7%95%d7%91%d7%a1%d7%a7%d7%99,https://www.gmc.gov.il/?p=10533,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%90%d7%99%d7%a8%d7%a0%d7%94-%d7%a1%d7%93%d7%95%d7%91%d7%a1%d7%a7%d7%99
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%90%d7%9c%d7%a0%d7%94-%d7%97%d7%95%d7%a8%d7%99,https://www.gmc.gov.il/?p=8742,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%90%d7%9c%d7%a0%d7%94-%d7%97%d7%95%d7%a8%d7%99
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%93%d7%9c%d7%99%d7%aa-%d7%90%d7%95%d7%97%d7%a0%d7%94,https://www.gmc.gov.il/?p=10533,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%93%d7%9c%d7%99%d7%aa-%d7%90%d7%95%d7%97%d7%a0%d7%94
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9c%d7%99%d7%90%d7%aa-%d7%90%d7%9c%d7%94%d7%a8%d7%a8,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9c%d7%99%d7%90%d7%aa-%d7%90%d7%9c%d7%94%d7%a8%d7%a8
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9c%d7%99%d7%98%d7%9c-%d7%9b%d7%97%d7%9c%d7%95%d7%9f,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9c%d7%99%d7%98%d7%9c-%d7%9b%d7%97%d7%9c%d7%95%d7%9f
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9e%d7%99%d7%a8%d7%99-%d7%9b%d7%94%d7%9f,https://www.gmc.gov.il/?p=8742,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%9e%d7%99%d7%a8%d7%99-%d7%9b%d7%94%d7%9f
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a7%d7%98%d7%99%d7%94-%d7%a0%d7%90%d7%95%d7%9e%d7%a0%d7%a7%d7%95,https://www.gmc.gov.il/?p=8838,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a7%d7%98%d7%99%d7%94-%d7%a0%d7%90%d7%95%d7%9e%d7%a0%d7%a7%d7%95
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a8%d7%90%d7%93%d7%94-%d7%a9%d7%99%d7%99%d7%97,https://www.gmc.gov.il/?p=10533,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a8%d7%90%d7%93%d7%94-%d7%a9%d7%99%d7%99%d7%97
https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a9%d7%a8%d7%99-%d7%a0%d7%94%d7%99%d7%a8-%d7%91%d7%99%d7%93%d7%a8%d7%9e%d7%9f-2,https://www.gmc.gov.il/?department=%d7%90%d7%92%d7%a3-%d7%a0%d7%a9%d7%99%d7%9d-%d7%95%d7%99%d7%95%d7%9c%d7%93%d7%95%d7%aa,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%92%d7%91-%d7%a9%d7%a8%d7%99-%d7%a0%d7%94%d7%99%d7%a8-%d7%91%d7%99%d7%93%d7%a8%d7%9e%d7%9f-2
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%93%d7%94%d7%9d-%d7%93%d7%90%d7%95%d7%93,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%93%d7%94%d7%9d-%d7%93%d7%90%d7%95%d7%93
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%99-%d7%a7%d7%a7%d7%99%d7%90%d7%a9%d7%95%d7%99%d7%9c%d7%99,https://www.gmc.gov.il/?p=8742,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%99-%d7%a7%d7%a7%d7%99%d7%90%d7%a9%d7%95%d7%99%d7%9c%d7%99
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%99%d7%94%d7%95-%d7%97%d7%9c%d7%a4%d7%95%d7%9f,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%99%d7%94%d7%95-%d7%97%d7%9c%d7%a4%d7%95%d7%9f
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%9b%d7%a1-%d7%a9%d7%98%d7%95%d7%a8%d7%9e%d7%9f,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%90%d7%9c%d7%9b%d7%a1-%d7%a9%d7%98%d7%95%d7%a8%d7%9e%d7%9f
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%91%d7%95%d7%9c%d7%95%d7%a1-%d7%9e%d7%a8%d7%99%d7%90%d7%a0%d7%94,https://www.gmc.gov.il/?p=10533,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%91%d7%95%d7%9c%d7%95%d7%a1-%d7%9e%d7%a8%d7%99%d7%90%d7%a0%d7%94
https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%92%d7%a1%d7%90%d7%9f-%d7%9e%d7%95%d7%a2%d7%93%d7%99,https://www.gmc.gov.il/?p=10501,,unknown,inlineStaff,0.65, https://www.gmc.gov.il/?doctor=%d7%93%d7%a8-%d7%92%d7%a1%d7%90%d7%9f-%d7%9e%d7%95%d7%a2%d7%93%d7%99
